age;familysize;gender;married;race;religion;Q1A;Q2A;Q3A;Q4A;Q5A;Q6A;Q7A;Q8A;Q9A;Q10A
29;2;0;0;2;0;0;0;2;4;0;1;1;1;1;1
11;2;0;0;0;1;1;0;2;4;0;1;1;0;3;2
19;1;0;0;2;0;0;1;2;4;4;1;1;3;1;2
22;2;0;0;0;0;1;4;2;4;3;1;0;2;1;4
32;3;0;0;2;1;1;2;2;4;1;1;0;3;3;4
19;2;0;0;1;0;0;1;4;4;0;1;0;0;1;1
8;0;0;0;0;3;1;1;4;4;3;1;1;1;3;2
11;2;0;0;0;0;0;1;4;4;4;1;0;4;1;4
8;2;0;0;2;1;1;1;3;4;4;1;0;3;1;4
38;2;0;0;2;0;0;2;3;4;4;1;1;1;1;1
31;0;0;0;2;2;1;3;4;4;4;1;0;1;1;2
22;0;0;0;0;2;0;4;4;4;3;1;1;0;1;1
11;2;0;0;0;0;1;3;3;4;3;1;0;1;3;2
5;2;0;0;0;0;0;3;3;4;4;1;0;3;1;2
11;1;0;0;0;3;1;0;1;0;4;2;1;2;2;4
24;2;0;0;2;1;0;0;2;0;4;2;1;0;1;3
4;1;0;0;0;3;0;4;2;0;2;2;1;2;1;1
1;0;0;0;0;2;0;4;2;0;1;2;0;3;4;1
26;1;0;0;5;0;1;2;3;0;3;2;1;4;3;4
1;0;0;0;0;2;1;2;3;0;3;2;1;3;2;1
15;2;0;0;0;3;0;1;4;0;2;2;1;4;1;2
16;2;0;0;1;1;1;3;3;0;1;2;0;4;4;0
1;2;0;0;2;0;1;4;1;1;2;2;0;1;2;2
11;2;0;0;0;0;1;3;1;1;3;2;0;2;1;3
10;2;0;0;4;0;1;4;0;1;3;2;0;2;4;4
11;3;0;0;2;1;0;2;2;1;0;2;1;1;1;2
11;0;0;0;0;1;1;3;2;1;4;2;0;3;3;2
2;2;0;0;0;0;0;1;4;1;2;2;1;0;1;2
2;2;0;0;0;2;1;2;3;1;3;2;1;1;3;4
8;2;0;0;2;0;1;3;3;1;4;2;1;0;1;4
26;1;0;0;0;0;1;3;3;1;2;2;0;2;2;3
3;2;0;0;0;0;1;1;3;1;1;2;1;3;3;3
1;1;0;0;0;0;1;1;1;2;1;2;0;1;2;2
29;0;0;0;2;0;0;0;0;2;3;2;1;2;1;1
5;0;0;0;2;0;1;3;1;2;1;2;1;1;1;3
5;3;0;0;0;2;0;4;0;2;2;2;0;0;1;0
26;3;0;0;2;1;1;3;0;2;3;2;0;0;4;3
26;2;0;0;0;1;0;3;0;2;0;2;0;4;2;3
26;2;0;0;2;0;1;4;1;2;4;2;0;4;3;3
22;0;0;0;0;0;1;0;2;2;3;2;1;3;4;4
7;2;0;0;0;0;1;3;2;2;3;2;1;3;2;4
8;1;0;0;0;0;0;3;2;2;0;2;0;4;3;2
